annotator,metaphor,FAMILIARITY_synthetic,MEANINGFULNESS_synthetic,DIFFICULTY_synthetic
1,Dopo una cena a base di aglio gli aliti sono fogne insopportabili.,2.914976163,3.847108779,2.088617501
1,Nei processi importanti certi avvocati sono squali senza scrupoli.,3.036974216,4.24233849,2.011457708
1,Secondo l'opinione del generale quegli eserciti sono dighe insormontabili.,2.985967314,4.242338508,2.029362426
1,Quando il tempo stringe gli oratori sono treni ad altà velocità.,2.163686945,1.331928067,2.874241811
1,Nell'arrampicata ad alta quota gli scalatori sono scoiattoli molto agili.,2.792008858,1.475479636,2.160539645
1,A volte nell'educazione degli adolescenti gli schiaffi sono medicine efficaci.,2.808567187,2.089066765,3.890740796
1,Specialmente per le coste italiane gli uragani sono carrarmati devastanti.,2.74867363,1.491216983,2.953609169
1,Davanti ad una punizione certi bambini sono fontane inarrestabili.,2.857618355,2.899256312,2.45887357
1,Nel mondo della speculazione finanziaria i banchieri sono vampiri sempre assetati.,2.817862016,3.857618375,2.593351145
1,Nell'utilizzo di rasoi taglienti i barbieri sono chirurghi altamente specializzati.,2.728446346,4.323703623,2.0707474
1,Negli ambienti di lavoro spesso i colleghi sono zecche fastidiose.,2.858725516,1.6474493,3.144796554
1,All'occhio di un investigatore alle prime armi certi delitti sono rebus insolubili.,2.832076051,4.232586704,2.20511305
1,Alle finali olimpioniche di atletica i ginnasti sono grilli agilissimi.,2.67779661,1.27643382,3.085514292
1,In certi sport americani i giocatori sono elefanti dalla mole imponente.,2.808567194,2.859300977,1.871479179
1,Durante gli scandali nazionali i giornalisti sono avvoltoi senza morale.,2.774820167,1.966115953,3.602082409
1,Nella formazione culturale di ogni persona certi libri sono bussole di grande utilità.,2.885243967,4.429942536,1.826472482
1,Nell'educazione dei giovani certi maestri sono lanterne che illuminano la via.,3.635824673,4.558120115,1.674365246
1,Nelle campagne elettorali certi politici sono calamite per i voti.,2.950735129,4.456286656,1.762994242
1,Nei condomini del centro i portinai sono archivi pronti a spettegolare.,2.885243971,4.010901754,2.291632224
1,Specialmente per le materie umanistiche certi professori sono enciclopedie zeppe di conoscenze.,2.921430956,4.416600702,1.80289553
1,Dopo un grave lutto certi ricordi sono spine dolorose.,2.845851722,4.560002628,1.606020288
1,Nel combattimento corpo a corpo certi soldati sono leoni senza paura.,2.86895343,4.098234545,2.081313641
1,Dopo un anno di duro lavoro i viaggi sono terapie di sicura efficacia.,2.845719224,3.413692355,2.535907459
1,Secondo la giornalista di moda quelle acconciature sono cespugli incolti.,2.774820158,2.673264717,3.047208436
1,Durante la gara di formula uno le automobili sono frecce velocissime.,2.682646416,1.601324205,3.693366869
1,Alla prima dello spettacolo le ballerine sono farfalle molto aggraziate.,2.933613184,2.617911905,3.0
1,Per le ricerche di letteratura certe biblioteche sono miniere ricche di informazioni.,2.857618344,4.590330259,1.445384819
1,Per i faccendieri del tribunale le borse sono macigni traboccanti di documenti.,2.902753139,3.788058421,2.379157196
