metaphor,FAMILIARITY_human,MEANINGFULNESS_human,DIFFICULTY_human
Nella memoria dei popoli le stragi sono cicatrici indelebili.,"3,92","4,563920217","1,285251441"
In certi momenti gli occhi sono oceani di profondità infinita.,"3,32","3,964222151","1,796227716"
Se negative certe amicizie sono virus che infettano il carattere dei giovani.,"2,4","4,206424343","1,452827391"
Nelle patologie psichiatriche le ossessioni sono gabbie che imprigionano.,"2,92","4,200822272","1,825789562"
Per alcune persone certi profumi sono chiavi per la porta della memoria.,"2,362551334","4,28","2,08"
Spesso nella vita le delusioni sono zavorre molto pesanti.,"2,963944999","4,16","1,32"
Nel mondo dello spettacolo certe conoscenze sono ascensori per il successo.,"3,766141671","4,48","1,36"
Per i soggetti depressi le crisi sono tunnel senza fine.,"4,005996436","4,08","1,84"
Nella vita le paure sono nodi che impediscono di andare avanti.,"2,565550052","3,56","1,76"
Nei momenti difficili le speranze sono stelle che illuminano l'anima.,"2,846004042","3,56","2,12"
Nelle società multietniche le lingue sono ponti tra le persone.,"3,483036554","3,64","1,92"
Nel caso di alcuni autori certi romanzi sono mappe che aiutano ad orientarsi nella vita.,"2,688900579","3,4","2,24"
Specialmente nelle relazioni sentimentali i torti sono crepe nell'anima.,"2,415821073","3,12","2,32"
Nel corso della vita le emozioni sono fulmini che sconvolgono la routine.,"2,957454602","3,48","1,72"
Quando c'è diffidenza i segreti sono muri tra le persone.,"3,096103082","3,68","2,12"
In politica e nel commercio certi discorsi sono fiumi che travolgono.,"2,689207632","2,96","2,28"
Nella società umana i rapporti sono corde che ci legano agli altri.,"3,375807662","3,92","1,8"
Senza il perdono i rancori sono tarli che divorano l'anima.,"3,291668575","3,92","1,8"
Negli animi fragili le tentazioni sono reti molto pericolose.,"2,930193941","3,4","2,68"
