annotator,metaphor,PHISICALITY_synthetic,IMAGEABILITY_synthetic
1,Certi avvocati sono squali,5,4
1,Quegli scalatori sono scoiattoli,5,1
1,Alcuni bambini sono fontane,5,2
1,Certi banchieri sono vampiri,5,4
1,Alcuni colleghi sono zecche,5,4
1,Certi giornalisti sono avvoltoi,5,4
1,Alcuni professori sono enciclopedie,5,2
1,Quei poliziotti sono leoni,5,7
1,Certe acconciature sono cespugli,5,6
1,Certe fanciulle sono rose,6,7
1,Certe indossatrici sono bambole,5,6
1,Certi bimbetti sono colla,3,2
1,Alcuni venditori sono ortiche,5,2
1,Certi ladri sono gatti,6,1
1,Alcune suocere sono vipere,5,6
1,Alcuni atleti sono statue,5,7
1,Certi ginnasti sono burattini,5,4
1,Quelle ballerine sono libellule,5,2
1,Quelle bambine sono zuccherini,5,4
1,Quei chitarristi sono mitraglie,5,7
1,Certi impiegati sono zerbini,5,4
1,Alcuni neonati sono batuffoli,5,7
1,Alcuni cantanti sono usignoli,5,1
1,Certi pesisti sono ippopotami,5,4
1,Quei cuochi sono mongolfiere,5,1
1,Alcuni politici sono pavoni,5,4
1,Quei degenti sono mummie,5,6
1,Certi insegnanti sono ghiaccioli,5,2
1,Certi fruttivendoli sono megafoni,5,2
1,Alcuni amici sono ancore,5,2
1,Certi burocrati sono fossili,5,4
1,Alcuni anziani sono lumache,5,2
1,Certi corridori sono lepri,6,2
1,Quegli scolari sono uragani,5,2
1,Alcune segretarie sono agende,5,2
1,Certi leader sono fari,6,7
1,Certi scienziati sono lampi,5,2
1,Quegli eremiti sono lupi,5,4
1,Quelle spose sono nuvole,5,1
1,Certi nasi sono uncini,5,7
1,Quelle labbra sono canotti,5,2
1,Certi bicipiti sono sassi,6,7
2,Certi avvocati sono squali,5,4
2,Quegli scalatori sono scoiattoli,5,1
2,Alcuni bambini sono fontane,5,2
2,Certi banchieri sono vampiri,5,4
2,Alcuni colleghi sono zecche,5,2
2,Certi giornalisti sono avvoltoi,5,2
2,Alcuni professori sono enciclopedie,5,2
2,Quei poliziotti sono leoni,5,7
2,Certe acconciature sono cespugli,5,6
2,Certe fanciulle sono rose,6,7
2,Certe indossatrici sono bambole,5,4
2,Certi bimbetti sono colla,3,2
2,Alcuni venditori sono ortiche,5,2
2,Certi ladri sono gatti,6,1
2,Alcune suocere sono vipere,5,4
2,Alcuni atleti sono statue,5,7
2,Certi ginnasti sono burattini,5,4
2,Quelle ballerine sono libellule,5,4
2,Quelle bambine sono zuccherini,5,3
2,Quei chitarristi sono mitraglie,5,4
2,Certi impiegati sono zerbini,5,2
2,Alcuni neonati sono batuffoli,5,6
2,Alcuni cantanti sono usignoli,5,1
2,Certi pesisti sono ippopotami,5,6
2,Quei cuochi sono mongolfiere,5,1
2,Alcuni politici sono pavoni,5,6
2,Quei degenti sono mummie,5,7
2,Certi insegnanti sono ghiaccioli,5,4
2,Certi fruttivendoli sono megafoni,5,4
2,Alcuni amici sono ancore,5,2
2,Certi burocrati sono fossili,5,4
2,Alcuni anziani sono lumache,5,2
2,Certi corridori sono lepri,5,2
2,Quegli scolari sono uragani,5,2
2,Alcune segretarie sono agende,5,2
2,Certi leader sono fari,5,2
2,Certi scienziati sono lampi,5,2
2,Quegli eremiti sono lupi,5,4
2,Quelle spose sono nuvole,5,1
2,Certi nasi sono uncini,5,7
2,Quelle labbra sono canotti,5,6
2,Certi bicipiti sono sassi,6,7
3,Certi avvocati sono squali,5,4
3,Quegli scalatori sono scoiattoli,5,1
3,Alcuni bambini sono fontane,5,2
3,Certi banchieri sono vampiri,5,4
3,Alcuni colleghi sono zecche,5,2
3,Certi giornalisti sono avvoltoi,5,4
3,Alcuni professori sono enciclopedie,5,2
3,Quei poliziotti sono leoni,5,7
3,Certe acconciature sono cespugli,5,7
3,Certe fanciulle sono rose,5,7
3,Certe indossatrici sono bambole,5,6
3,Certi bimbetti sono colla,5,2
3,Alcuni venditori sono ortiche,5,2
3,Certi ladri sono gatti,6,1
3,Alcune suocere sono vipere,5,4
3,Alcuni atleti sono statue,6,7
3,Certi ginnasti sono burattini,5,4
3,Quelle ballerine sono libellule,5,2
