annotator,metaphor,FAMILIARITY_synthetic,MEANINGFULNESS_synthetic,DIFFICULTY_synthetic
1,Dopo una cena a base di aglio gli aliti sono fogne insopportabili.,3,4,2
1,Nei processi importanti certi avvocati sono squali senza scrupoli.,4,4,2
1,Secondo l'opinione del generale quegli eserciti sono dighe insormontabili.,3,4,1
1,Quando il tempo stringe gli oratori sono treni ad altà velocità.,3,2,4
1,Nell'arrampicata ad alta quota gli scalatori sono scoiattoli molto agili.,1,2,4
1,A volte nell'educazione degli adolescenti gli schiaffi sono medicine efficaci.,3,2,1
1,Specialmente per le coste italiane gli uragani sono carrarmati devastanti.,3,1,2
1,Davanti ad una punizione certi bambini sono fontane inarrestabili.,3,4,2
1,Nel mondo della speculazione finanziaria i banchieri sono vampiri sempre assetati.,3,4,2
1,Nell'utilizzo di rasoi taglienti i barbieri sono chirurghi altamente specializzati.,4,4,2
1,Negli ambienti di lavoro spesso i colleghi sono zecche fastidiose.,3,1,2
1,All'occhio di un investigatore alle prime armi certi delitti sono rebus insolubili.,3,5,2
1,Alle finali olimpioniche di atletica i ginnasti sono grilli agilissimi.,4,2,3
1,In certi sport americani i giocatori sono elefanti dalla mole imponente.,3,3,2
1,Durante gli scandali nazionali i giornalisti sono avvoltoi senza morale.,5,1,2
1,Nella formazione culturale di ogni persona certi libri sono bussole di grande utilità.,3,4,2
1,Nell'educazione dei giovani certi maestri sono lanterne che illuminano la via.,4,5,2
1,Nelle campagne elettorali certi politici sono calamite per i voti.,3,4,2
1,Nei condomini del centro i portinai sono archivi pronti a spettegolare.,3,4,2
1,Specialmente per le materie umanistiche certi professori sono enciclopedie zeppe di conoscenze.,1,5,1
1,Dopo un grave lutto certi ricordi sono spine dolorose.,3,4,2
1,Nel combattimento corpo a corpo certi soldati sono leoni senza paura.,3,4,2
1,Dopo un anno di duro lavoro i viaggi sono terapie di sicura efficacia.,3,4,2
1,Secondo la giornalista di moda quelle acconciature sono cespugli incolti.,3,2,4
1,Durante la gara di formula uno le automobili sono frecce velocissime.,3,2,1
1,Alla prima dello spettacolo le ballerine sono farfalle molto aggraziate.,3,4,2
1,Per le ricerche di letteratura certe biblioteche sono miniere ricche di informazioni.,3,4,2
1,Per i faccendieri del tribunale le borse sono macigni traboccanti di documenti.,3,4,2
1,Per gli adolescenti amanti del rock certe canzoni sono droghe ipnotiche.,3,5,1
1,Per i bambini maltrattati le carezze sono balsami che curano il trauma.,3,4,1
1,Nell'ora del rientro dal lavoro le città sono giungle caotiche.,5,4,2
1,Nelle poesie dei poeti romantici le fanciulle sono rose delicate.,3,4,1
1,Quando si suda per la tensione le giacche sono forni di calore.,3,2,4
1,Nei bambini appena nati le guance sono pesche liscissime.,3,4,2
1,Alle sfilate di alta moda le indossatrici sono bambole di incantevole bellezza.,3,3,2
1,Con certi insegnanti dell'università le lezioni in classe sono sonniferi potentissimi.,3,4,3
1,Specialmente nei paesi del terzo mondo certe malattie sono cecchini senza pietà.,3,3,4
1,Per i distubi del sonno certe melodie sono camomille rilassanti.,3,4,3
1,Nelle situazioni di crisi economica certe notizie sono terremoti destabilizzanti.,4,4,2
1,Le tasche delle giacche dei nonni sono banche zeppe di monete.,3,4,2
1,Ai matrimoni tradizionali le torte sono montagne di panna e praline.,3,4,2
1,Specialmente nel genere femminile certe voci sono trombe squillanti e fastidiose.,3,4,3
1,Soprattutto nelle culture tradizionali i matrimoni sono querce dalle radici solide.,3,2,2
1,Per molti anziani i figli sono stampelle che sostengono nella vecchiaia.,3,4,3
1,Dopo un temporale le nuvole sono perle di infiniti riflessi.,3,3,2
1,Nelle scelte di vita i dubbi sono ombre che offuscano la via.,2,4,2
1,Nei momenti di sconforto i sogni sono ali per viaggiare lontano.,3,5,1
1,Negli indecisi le opinioni sono pendoli che vanno di qua e di là.,3,4,2
1,Quando si toccano argomenti delicati le parole sono pietre che pesano sull'animo.,3,5,2
1,Nelle persone creative le menti sono vulcani di idee e progetti.,3,5,1
1,Al giorno d'oggi i passatempi sono oasi dal lavoro e dalla frenesia del quotidiano.,3,4,2
1,Specialmente nella adolescenza le passioni sono venti passeggeri e instabili.,3,4,3
1,In un percorso di miglioramento spirituale le virtù sono muscoli da potenziare.,3,5,2
